temperature,humidity,wind_speed,clothing_type
33.38,57.35,25.52,low
20.12,94.18,16.86,moderate
3.69,57.4,27.61,heavy
15.2,91.91,13.87,moderate
9.29,29.11,1.32,
8.21,69.82,16.23,heavy
37.02,13.11,28.35,low
37.16,56.25,29.32,low
29.88,55.39,0.49,
-4.37,70.0,23.46,heavy
26.14,11.57,15.92,low
-5.38,36.13,1.9,
9.39,58.82,3.75,
-2.54,94.26,24.49,heavy
-6.24,45.11,19.17,heavy
14.9,13.17,16.22,heavy
19.32,7.22,27.65,moderate
14.8,74.55,22.24,heavy
16.69,70.16,15.22,moderate
-2.72,33.33,18.36,heavy
33.15,66.17,17.69,low
4.04,10.1,1.88,
39.6,46.35,22.98,low
6.07,5.24,23.07,heavy
18.64,89.5,4.83,
31.29,12.58,27.54,low
33.57,41.69,22.14,low
32.25,58.37,13.03,low
24.13,75.98,10.96,moderate
27.37,93.41,1.44,
-7.57,93.4,0.48,
4.28,81.86,9.75,
39.31,85.35,27.4,low
25.8,66.86,17.56,low
3.38,69.73,23.43,heavy
5.8,52.25,23.04,heavy
12.29,18.77,19.19,heavy
38.33,21.14,27.02,low
39.64,87.78,3.18,
13.51,11.86,10.68,heavy
36.85,84.16,12.56,low
29.71,69.55,8.37,
-6.94,24.08,14.28,heavy
20.36,4.6,21.93,moderate
39.02,12.01,29.68,low
27.23,42.58,8.23,
-9.2,40.46,28.53,heavy
3.53,57.07,18.86,heavy
4.1,70.23,8.33,
8.99,24.14,4.78,
5.31,6.18,19.55,heavy
18.5,66.1,2.34,
36.04,11.81,9.42,
24.99,6.31,14.94,moderate
6.27,90.51,15.85,heavy
10.53,25.91,19.47,heavy
32.8,83.67,28.4,low
1.45,54.54,19.22,heavy
29.04,56.2,17.6,low
29.69,63.95,2.9,
19.67,5.32,14.47,moderate
4.12,46.67,7.17,
12.1,92.01,0.11,
1.61,51.98,11.53,heavy
33.47,78.09,21.42,low
36.52,81.93,4.53,
-1.63,54.07,21.79,heavy
34.96,14.37,22.81,low
34.57,13.37,20.48,low
-8.91,18.3,21.81,heavy
28.4,90.03,13.75,low
3.04,78.12,26.8,heavy
37.07,56.98,15.85,low
19.57,46.65,6.17,
15.65,51.28,17.44,moderate
-6.42,29.19,13.07,heavy
-7.11,83.4,22.71,heavy
37.1,25.67,2.07,
-8.47,31.42,12.81,heavy
18.59,75.47,3.37,
28.07,56.55,22.13,low
15.59,60.4,19.5,moderate
25.88,0.49,22.46,low
-2.51,94.62,4.65,
20.66,36.26,28.77,moderate
38.53,15.68,24.28,low
9.69,31.87,2.4,
-6.74,31.84,18.55,heavy
23.15,62.74,2.1,
3.49,85.83,10.25,heavy
26.77,18.58,23.61,low
-8.68,69.79,5.43,
23.83,10.99,0.88,
-1.47,82.34,18.59,heavy
-0.92,14.87,14.38,heavy
31.31,95.47,13.02,low
14.01,83.93,9.52,
24.75,9.83,15.35,moderate
5.24,8.98,7.05,
9.7,46.04,18.26,heavy
38.52,57.23,7.44,
2.0,75.32,10.24,heavy
23.05,96.39,11.34,moderate
6.84,55.73,3.78,
38.28,36.91,26.62,low
4.57,16.19,3.95,
8.21,40.07,13.87,heavy
6.62,53.86,5.86,
3.37,46.32,3.98,
1.38,44.49,27.81,heavy
1.09,41.93,6.32,
35.47,23.87,26.27,low
-8.31,36.18,7.32,
38.15,92.0,5.81,
29.59,2.13,22.47,low
27.0,42.82,29.42,low
23.53,44.46,2.71,
9.1,5.48,5.11,
7.99,11.62,1.98,
-2.05,28.67,7.54,
31.81,7.56,6.1,
26.48,62.64,23.42,low
6.51,75.67,24.66,heavy
4.83,18.24,20.53,heavy
34.1,18.29,5.4,
-1.5,5.01,7.83,
19.36,56.82,22.69,moderate
39.97,98.65,6.84,
3.48,59.47,19.64,heavy
17.52,60.81,9.9,
-2.52,38.08,13.04,heavy
1.1,32.35,25.98,heavy
32.57,40.24,0.41,
-9.49,67.13,29.75,heavy
33.98,11.84,25.71,low
29.59,3.59,7.0,
7.13,87.91,23.85,heavy
9.54,31.14,22.08,heavy
25.15,97.64,3.61,
2.58,66.97,22.0,heavy
32.0,70.84,3.43,
1.79,47.15,25.2,heavy
-6.31,54.59,7.21,
31.76,58.11,3.16,
24.01,6.46,9.18,
3.53,74.27,1.57,
32.14,35.88,18.48,low
-1.53,65.45,14.43,heavy
9.89,10.84,22.5,heavy
-8.03,62.04,11.76,heavy
-9.7,8.32,8.16,
33.04,54.82,18.06,low
21.24,88.96,7.19,
4.5,89.6,21.84,heavy
9.01,99.33,19.43,heavy
21.7,55.21,13.37,moderate
31.39,63.21,15.3,low
36.48,40.4,10.49,low
31.54,52.17,16.47,low
18.37,38.51,7.57,
29.07,54.76,7.64,
5.38,73.35,24.81,heavy
14.27,87.66,4.83,
26.59,39.92,10.67,low
-9.02,6.3,6.07,
38.21,22.78,9.94,
13.74,85.25,25.75,heavy
17.61,32.96,20.38,moderate
30.4,14.56,18.95,low
28.61,61.46,11.93,low
17.75,24.27,7.47,
-7.9,37.45,10.01,heavy
17.79,4.37,26.81,moderate
-5.48,39.46,10.44,heavy
32.51,20.75,25.8,low
19.93,90.76,16.17,moderate
6.34,24.05,23.92,heavy
-8.2,31.41,10.19,heavy
-2.88,3.99,7.75,
11.05,59.7,23.29,heavy
3.23,97.49,21.47,heavy
7.09,45.02,5.84,
7.21,87.67,26.24,heavy
26.62,76.48,18.8,low
25.77,55.63,3.39,
35.09,17.84,18.64,low
38.57,43.06,10.18,low
6.58,26.84,9.14,
30.33,78.75,29.51,low
-4.74,59.86,23.63,heavy
39.11,76.61,3.63,
19.33,86.44,4.85,
27.86,21.44,10.09,low
23.11,57.39,16.56,moderate
-3.85,60.39,9.76,
24.15,98.08,9.4,
22.17,3.98,20.72,moderate
30.11,59.82,7.58,
7.65,25.89,25.1,heavy
4.79,12.74,26.99,heavy
20.86,93.16,11.2,moderate
-5.74,85.31,22.98,heavy
-3.19,7.36,1.88,
19.62,65.28,23.03,moderate
30.43,87.37,21.03,low
5.95,13.17,28.48,heavy
1.73,69.28,28.04,heavy
24.26,20.61,1.26,
5.0,68.73,11.77,heavy
5.12,39.57,26.56,heavy
28.83,88.71,23.05,low
5.31,54.86,14.98,heavy
-6.05,17.92,14.7,heavy
8.95,93.85,7.02,
23.01,22.86,6.95,
17.01,44.38,8.41,
31.15,64.73,23.12,low
37.42,46.1,20.33,low
25.97,28.34,11.71,low
14.67,52.95,29.36,heavy
26.13,69.82,8.93,
13.81,92.51,20.22,heavy
27.02,77.93,11.16,low
13.21,48.68,3.03,
29.83,98.3,18.01,low
21.43,95.6,11.9,moderate
5.48,77.35,24.68,heavy
31.07,75.63,3.3,
-2.27,59.91,7.44,
2.97,68.39,9.17,
34.23,87.87,13.81,low
15.74,65.63,29.26,moderate
1.75,19.52,25.9,heavy
35.67,72.56,3.63,
-8.62,31.76,21.53,heavy
-0.56,94.03,11.81,heavy
30.94,53.92,20.89,low
31.18,60.01,10.87,low
5.98,58.28,19.29,heavy
-0.05,12.75,11.04,heavy
7.64,14.89,21.99,heavy
11.48,30.22,7.11,
34.59,39.03,24.59,low
7.2,28.57,28.36,heavy
4.35,6.46,25.77,heavy
-9.34,22.1,23.14,heavy
33.2,33.31,24.42,low
-0.26,55.32,8.35,
-5.15,1.53,11.55,heavy
5.58,97.37,28.18,heavy
38.7,92.09,0.08,
9.26,11.07,8.47,
6.57,89.5,7.06,
3.17,10.92,16.62,heavy
22.67,43.52,11.63,moderate
12.46,29.21,28.12,heavy
-6.47,6.97,22.83,heavy
29.44,12.2,21.3,low
10.94,16.89,4.56,
35.54,13.8,14.71,low
16.25,71.84,27.23,moderate
24.3,77.87,2.9,
32.52,26.57,2.55,
35.35,98.95,1.51,
21.32,75.49,25.65,moderate
31.16,28.95,8.14,
10.9,7.08,20.74,heavy
-4.89,52.42,29.26,heavy
-0.45,39.22,0.94,
31.94,82.49,13.58,low
1.62,57.82,16.28,heavy
9.36,39.65,23.94,heavy
-0.16,30.29,6.7,
19.65,35.84,4.31,
13.28,89.87,6.54,
-5.89,83.17,6.37,
14.06,17.2,4.62,
26.37,61.51,6.78,
25.87,49.04,19.87,low
10.25,32.66,2.21,
-8.49,29.62,6.71,
3.58,3.31,8.79,
1.64,32.8,10.56,heavy
-7.97,47.45,14.93,heavy
23.85,46.64,14.58,moderate
25.65,3.59,24.89,low
1.14,92.6,18.83,heavy
-8.65,12.75,11.87,heavy
-8.11,48.88,14.76,heavy
37.46,15.81,18.51,low
-1.07,35.61,12.0,heavy
4.82,67.69,29.29,heavy
23.19,21.36,17.87,moderate
2.75,91.39,12.45,heavy
-0.92,56.36,25.45,heavy
20.77,30.6,21.88,moderate
3.16,3.12,9.06,
-5.57,42.65,23.66,heavy
8.85,78.62,7.7,
6.15,8.78,8.57,
2.08,78.57,10.76,heavy
-3.18,32.54,0.78,
31.01,66.6,3.13,
9.56,25.27,21.66,heavy
32.1,21.23,9.36,
20.75,99.14,5.86,
3.21,55.36,22.62,heavy
10.65,68.96,14.49,heavy
-0.08,80.57,8.15,
8.35,41.5,4.32,
16.32,63.49,2.5,
5.99,5.93,18.43,heavy
-2.21,85.08,18.86,heavy
15.02,93.91,20.38,moderate
0.34,71.56,20.55,heavy
24.7,50.32,10.7,moderate
20.3,34.91,19.38,moderate
-8.96,36.33,5.04,
13.18,67.28,24.88,heavy
16.22,91.9,6.6,
14.86,89.39,21.39,heavy
37.38,91.39,27.49,low
12.07,94.48,17.11,heavy
-6.56,87.95,29.84,heavy
30.6,64.2,11.36,low
29.53,56.15,9.33,
18.68,97.37,17.9,moderate
30.97,2.02,14.16,low
30.42,17.84,28.06,low
32.12,40.48,2.42,
4.32,87.82,5.86,
-3.91,58.41,15.58,heavy
31.91,47.81,6.41,
-7.15,55.34,14.86,heavy
18.35,10.27,1.2,
-0.19,91.31,1.11,
0.61,29.26,26.09,heavy
31.01,3.31,23.61,low
-6.89,57.51,11.39,heavy
-9.45,58.25,18.48,heavy
27.65,16.0,25.56,low
29.63,38.88,16.87,low
5.02,44.47,4.8,
28.25,84.17,15.62,low
17.61,68.96,14.1,moderate
-6.43,8.93,29.79,heavy
31.77,24.98,19.43,low
9.06,91.95,13.84,heavy
12.05,40.23,20.26,heavy
28.79,43.27,16.57,low
17.53,62.19,11.3,moderate
8.49,93.21,4.73,
20.6,58.14,13.01,moderate
19.56,27.29,19.88,moderate
28.17,43.84,0.91,
-5.31,12.03,7.21,
-0.38,54.47,21.76,heavy
24.55,68.4,21.55,moderate
-5.3,15.43,13.65,heavy
-0.48,81.7,4.2,
10.37,6.31,15.77,heavy
1.01,93.26,16.86,heavy
15.57,84.86,16.11,moderate
-1.38,97.38,3.86,
-3.13,86.38,4.5,
24.8,63.74,14.76,moderate
3.02,67.16,19.27,heavy
29.24,34.05,9.55,
35.49,99.56,29.25,low
-9.02,98.04,8.73,
-8.62,24.93,14.53,heavy
-0.94,88.64,16.26,heavy
-9.33,99.09,22.01,heavy
37.19,52.08,10.6,low
33.36,75.56,5.6,
17.6,5.01,2.79,
20.02,70.08,13.09,moderate
39.06,18.62,28.78,low
33.79,3.86,12.1,low
-3.28,35.47,15.61,heavy
0.07,92.28,25.85,heavy
7.51,87.3,27.81,heavy
24.3,77.0,13.82,moderate
23.81,76.82,16.88,moderate
27.98,59.04,21.8,low
3.07,80.35,6.72,
-6.86,76.36,7.82,
-4.28,29.64,16.59,heavy
26.27,11.89,14.34,low
23.52,4.39,24.02,moderate
10.5,56.25,25.85,heavy
34.11,62.66,15.25,low
28.98,60.9,19.54,low
3.09,84.36,12.21,heavy
1.01,93.54,3.55,
4.98,79.14,13.31,heavy
-3.6,97.07,9.25,
13.43,70.55,25.2,heavy
18.88,79.87,16.0,moderate
23.92,62.3,27.09,moderate
-3.61,39.55,14.55,heavy
35.28,41.58,13.99,low
22.88,20.79,19.5,moderate
15.27,22.81,21.35,moderate
26.59,20.94,3.3,
6.01,63.65,16.99,heavy
1.62,32.32,25.79,heavy
38.93,86.32,1.37,
24.38,74.59,6.8,
16.06,52.81,3.44,
23.13,52.96,12.62,moderate
17.56,44.07,12.67,moderate
4.58,19.46,15.88,heavy
1.4,52.64,3.12,
15.25,57.82,16.71,moderate
10.74,47.69,13.5,heavy
7.77,98.53,26.55,heavy
-5.38,9.65,25.67,heavy
21.44,40.16,28.84,moderate
18.33,44.77,18.17,moderate
19.64,55.3,13.45,moderate
-9.67,69.0,11.93,heavy
21.01,44.54,29.8,moderate
-2.57,59.52,5.39,
24.49,44.07,8.18,
21.83,84.22,26.32,moderate
1.3,6.37,8.16,
-1.55,60.64,15.06,heavy
25.42,39.45,15.12,low
-8.92,22.76,25.62,heavy
-3.98,84.91,1.37,
37.04,90.12,24.92,low
2.57,13.93,8.83,
12.76,26.88,2.29,
23.9,53.65,26.25,moderate
16.43,15.05,13.54,moderate
33.57,75.77,29.8,low
8.81,45.56,27.34,heavy
2.11,63.27,24.02,heavy
13.9,25.45,24.32,heavy
25.28,56.58,7.7,
6.29,89.02,27.42,heavy
-6.33,34.93,24.53,heavy
8.12,41.23,19.72,heavy
21.34,55.04,12.97,moderate
-4.73,81.7,25.07,heavy
-4.43,26.13,17.68,heavy
14.08,46.34,21.53,heavy
22.54,60.3,24.39,moderate
12.38,0.78,20.51,heavy
14.49,4.07,24.57,heavy
26.99,78.36,7.98,
17.78,8.03,25.27,moderate
29.05,32.18,10.27,low
-5.02,9.21,12.56,heavy
-9.45,84.66,12.96,heavy
-0.18,90.98,5.73,
3.75,3.26,1.97,
25.64,40.42,25.07,low
4.54,60.42,15.8,heavy
17.34,56.39,26.3,moderate
31.44,13.09,8.24,
30.69,51.8,4.41,
-4.17,30.38,3.77,
13.68,84.77,3.25,
2.71,83.43,5.99,
-3.68,98.43,20.49,heavy
23.73,68.11,5.58,
28.09,58.86,9.02,
-3.55,22.69,0.53,
35.69,33.63,27.85,low
7.43,34.51,21.3,heavy
-7.07,47.55,11.87,heavy
31.52,69.77,28.0,low
3.39,19.45,16.82,heavy
31.28,43.23,12.47,low
-2.26,3.03,26.89,heavy
29.63,0.39,17.38,low
17.13,41.99,10.41,moderate
16.99,53.01,18.68,moderate
8.05,26.41,2.16,
-1.81,59.13,12.38,heavy
14.8,88.85,17.53,heavy
16.08,1.68,29.03,moderate
37.26,78.74,14.08,low
29.22,86.3,7.71,
32.98,69.93,10.61,low
6.61,56.97,16.23,heavy
-9.88,65.49,27.01,heavy
-3.55,20.4,5.17,
37.73,13.52,5.15,
-0.14,0.91,4.19,
-2.32,2.98,8.87,
38.41,50.94,5.79,
7.62,57.6,14.52,heavy
29.48,91.92,9.24,
33.81,8.86,1.58,
33.33,33.86,18.57,low
26.43,68.0,0.72,
-7.32,73.88,19.3,heavy
13.79,77.29,23.64,heavy
33.54,83.73,6.15,
21.38,10.2,22.07,moderate
6.65,89.15,19.42,heavy
4.33,99.66,20.51,heavy
15.47,73.07,14.45,moderate
12.43,43.03,21.23,heavy
32.4,50.18,15.53,low
18.07,89.51,4.55,
-0.33,54.94,20.68,heavy
35.79,65.66,8.26,
-3.59,43.42,15.02,heavy
16.7,54.4,2.15,
38.94,97.98,23.02,low
10.72,89.91,16.4,heavy
30.35,69.1,24.61,low
-6.92,84.36,18.35,heavy
26.77,38.84,17.18,low
22.47,74.29,24.55,moderate
33.03,39.39,15.28,low
-6.63,28.36,22.17,heavy
28.86,12.06,10.76,low
21.03,32.08,11.47,moderate
15.83,60.53,20.88,moderate
13.86,30.3,22.27,heavy
-4.51,77.11,14.36,heavy
-1.86,22.33,5.58,
33.03,60.24,21.08,low
13.06,50.59,0.83,
34.46,31.87,29.89,low
6.39,65.46,9.44,
-7.3,49.63,17.48,heavy
8.71,73.23,23.37,heavy
28.04,50.08,23.08,low
10.52,42.91,16.12,heavy
-4.74,6.9,25.99,heavy
34.77,71.71,12.14,low
29.01,69.25,22.18,low
34.6,30.48,0.75,
-2.39,20.37,3.55,
34.02,51.06,21.93,low
8.46,10.67,22.61,heavy
37.62,22.99,10.27,low
35.58,40.35,6.52,
4.77,54.71,2.91,
1.58,38.37,4.78,
30.97,42.94,0.3,
38.88,97.97,14.08,low
19.03,92.19,14.49,moderate
-2.26,89.68,9.39,
6.06,38.21,6.03,
3.3,41.45,16.01,heavy
6.98,2.81,25.87,heavy
4.88,65.31,18.32,heavy
23.12,64.3,29.42,moderate
22.67,17.56,20.69,moderate
33.17,4.73,0.7,
31.96,27.2,9.02,
3.09,38.96,6.59,
15.7,40.06,22.91,moderate
5.16,18.12,9.9,
27.14,71.84,2.13,
22.33,60.59,10.13,moderate
0.27,8.24,4.21,
24.31,7.39,1.56,
-1.28,74.15,10.32,heavy
12.86,27.75,17.28,heavy
-0.55,57.9,10.05,heavy
33.33,85.77,27.51,low
-9.36,42.06,22.4,heavy
16.61,22.07,16.02,moderate
38.24,57.68,23.17,low
16.63,74.7,21.76,moderate
10.39,34.69,24.62,heavy
33.04,86.71,18.15,low
31.06,60.46,13.79,low
16.96,26.71,12.7,moderate
1.49,56.21,10.99,heavy
21.0,67.17,13.24,moderate
-2.38,5.6,18.43,heavy
11.54,34.65,5.49,
32.5,13.95,21.65,low
6.63,89.68,12.95,heavy
11.49,58.22,29.95,heavy
29.13,42.82,2.99,
37.67,91.15,21.1,low
6.84,92.25,15.78,heavy
3.76,48.11,7.86,
-9.68,75.88,18.04,heavy
20.87,10.01,4.59,
28.83,82.47,15.4,low
21.13,33.52,11.01,moderate
34.46,58.07,4.03,
-0.85,81.91,8.12,
0.85,48.27,18.71,heavy
12.01,94.31,10.8,heavy
20.78,84.31,13.29,moderate
16.98,8.88,24.23,moderate
14.43,14.06,20.21,heavy
-2.38,58.19,3.27,
37.56,30.21,25.94,low
33.47,88.07,13.81,low
-0.91,65.35,17.0,heavy
25.33,21.45,7.93,
12.17,19.83,6.96,
14.8,36.75,26.71,heavy
23.75,61.44,4.69,
25.56,82.03,29.73,low
-3.95,13.67,16.21,heavy
32.74,31.37,15.27,low
12.59,82.67,27.47,heavy
16.53,83.67,22.96,moderate
-8.95,96.9,11.8,heavy
0.97,81.58,27.63,heavy
34.93,93.95,26.8,low
26.91,46.73,6.94,
31.5,71.62,26.81,low
4.37,48.58,9.85,
-2.4,72.63,22.06,heavy
32.09,73.75,2.53,
2.27,88.84,18.07,heavy
39.24,87.46,28.12,low
-4.98,85.85,12.03,heavy
8.35,64.38,1.1,
7.89,84.01,10.82,heavy
22.87,38.09,25.46,moderate
2.16,70.15,22.85,heavy
0.63,34.71,1.02,
25.75,25.07,7.7,
24.58,24.74,4.04,
34.46,79.74,11.52,low
25.9,42.16,9.04,
39.96,21.04,25.16,low
0.75,51.14,9.57,
24.05,90.14,28.25,moderate
11.99,96.26,10.7,heavy
2.03,17.36,18.39,heavy
33.59,87.05,20.96,low
13.32,47.18,20.24,heavy
7.25,20.0,2.58,
39.56,78.27,18.22,low
20.28,75.54,16.9,moderate
18.14,91.89,15.79,moderate
11.86,59.01,2.15,
27.86,20.03,0.54,
38.73,61.83,26.82,low
-5.42,12.54,29.4,heavy
39.7,60.02,21.84,low
11.98,39.3,7.82,
14.38,78.92,8.46,
26.99,88.77,6.4,
4.72,18.64,17.7,heavy
-8.1,36.8,16.04,heavy
9.17,70.42,8.96,
2.5,3.48,10.91,heavy
35.34,4.59,29.54,low
1.15,24.59,6.42,
35.77,67.51,11.49,low
25.63,80.75,21.36,low
14.67,16.16,19.27,heavy
10.22,34.0,9.78,
13.46,37.65,12.87,heavy
13.7,53.83,4.53,
21.19,26.5,16.4,moderate
5.76,85.94,1.04,
16.76,64.95,25.51,moderate
35.33,96.19,3.96,
-0.34,40.55,7.53,
-4.8,53.79,19.59,heavy
29.05,41.64,27.82,low
-7.34,26.35,15.59,heavy
-7.4,65.93,1.23,
33.87,55.92,25.14,low
38.61,0.34,4.11,
37.28,8.64,7.64,
32.94,65.34,9.33,
13.01,17.67,7.89,
20.48,59.87,18.46,moderate
33.89,59.1,23.77,low
8.15,47.68,13.36,heavy
23.13,75.17,21.59,moderate
22.47,53.22,10.23,moderate
22.35,60.76,4.37,
16.34,54.05,24.85,moderate
-5.81,4.63,14.1,heavy
-5.68,22.93,17.52,heavy
-1.63,50.02,10.5,heavy
31.05,3.74,11.5,low
13.52,64.0,4.48,
4.78,74.25,12.97,heavy
36.69,26.08,11.76,low
25.99,1.68,6.99,
-0.38,64.81,22.88,heavy
-7.23,15.09,24.5,heavy
11.91,84.36,22.44,heavy
17.83,6.29,9.77,
9.44,59.35,29.79,heavy
2.49,27.52,8.85,
-6.5,25.56,4.96,
30.69,3.1,9.75,
-1.89,70.25,12.9,heavy
7.61,42.98,20.09,heavy
16.24,69.85,4.15,
-6.15,0.23,18.4,heavy
0.66,4.83,9.35,
9.17,71.71,1.21,
14.22,48.39,24.11,heavy
22.78,93.94,0.48,
23.3,81.46,3.38,
28.67,85.39,17.0,low
7.67,15.67,16.69,heavy
2.05,90.75,7.84,
35.37,16.64,4.66,
4.8,87.44,17.82,heavy
36.79,93.63,9.58,
38.86,80.93,28.17,low
24.84,17.98,3.55,
31.55,14.69,18.28,low
0.95,96.75,4.4,
15.14,55.87,5.58,
12.55,88.34,9.08,
-6.59,40.37,0.15,
30.63,48.6,7.43,
16.24,51.04,0.63,
25.25,35.78,29.83,low
23.76,54.34,21.76,moderate
38.13,57.48,18.26,low
28.82,83.38,15.56,low
7.68,21.23,4.07,
15.67,14.57,21.0,moderate
29.92,58.24,6.78,
13.2,45.09,9.7,
15.29,76.8,19.31,moderate
-1.86,71.96,14.86,heavy
2.03,64.63,25.92,heavy
2.35,16.38,18.4,heavy
12.29,99.75,15.54,heavy
-0.74,70.34,17.54,heavy
27.22,67.16,13.67,low
27.6,24.72,2.46,
11.08,74.79,22.85,heavy
7.13,60.79,23.34,heavy
11.98,8.44,1.13,
19.09,71.75,23.4,moderate
22.7,66.42,0.38,
4.88,61.92,0.4,
23.75,6.54,10.69,moderate
-5.2,87.19,16.78,heavy
-3.09,55.06,14.84,heavy
3.32,66.83,19.56,heavy
26.39,81.43,20.37,low
9.2,72.46,19.85,heavy
16.21,14.23,5.07,
35.85,38.97,7.71,
-1.72,3.12,25.04,heavy
23.27,94.0,15.67,moderate
10.43,61.37,14.89,heavy
-1.65,32.76,7.71,
31.97,14.4,1.07,
-7.39,92.65,17.91,heavy
11.27,36.01,28.33,heavy
9.55,47.91,22.33,heavy
23.27,29.22,3.46,
5.51,90.31,1.6,
-5.53,34.72,24.69,heavy
18.23,33.48,22.47,moderate
12.13,16.84,7.67,
12.84,93.61,29.23,heavy
17.77,42.91,4.13,
-1.32,16.27,8.92,
23.67,43.72,22.24,moderate
-0.4,1.47,5.93,
14.92,87.28,15.02,heavy
18.74,39.98,15.69,moderate
0.08,8.48,25.34,heavy
19.39,61.0,2.8,
20.9,63.1,8.68,
-9.6,45.86,2.51,
-4.01,34.85,20.04,heavy
23.03,16.62,3.12,
19.09,70.44,5.9,
5.66,73.33,9.5,
32.36,11.05,8.11,
30.61,58.2,0.48,
0.62,96.63,16.1,heavy
28.18,67.64,2.76,
-6.57,29.41,24.4,heavy
39.49,69.63,27.85,low
-4.41,24.82,14.94,heavy
3.62,51.01,23.93,heavy
24.19,26.72,10.28,moderate
